project_id,project_name,financial_data,physical_progress,state,district,block,habitation,road_length,scheme
1,Project A,250.75,85.5,Maharashtra,Nashik,Surgana,Dhule Road,12.5,PMGSY-I
2,Project B,180.50,92.3,Karnataka,Belagavi,Khanapur,Shirur,8.2,PMGSY-II
3,Project C,320.25,78.9,Madhya Pradesh,Chhindwara,Chaurai,Khapa,15.7,PMGSY-III
4,Project D,150.00,95.0,Rajasthan,Udaipur,Girwa,Goverdhan Vilas,6.8,PMGSY-I
5,Project E,280.90,82.4,Gujarat,Vadodara,Padra,Karjan,11.3,PMGSY-II
6,Project F,195.60,88.7,Maharashtra,Ahmednagar,Rahuri,Shrirampur,9.1,PMGSY-III
7,Project G,230.45,76.2,Karnataka,Shivamogga,Shikaripura,Sagara,13.6,PMGSY-I
8,Project H,265.30,91.8,Madhya Pradesh,Indore,Depalpur,Mhow,10.4,PMGSY-II
9,Project I,175.80,84.6,Rajasthan,Jodhpur,Bhopalgarh,Bilara,7.9,PMGSY-III
10,Project J,310.20,79.5,Gujarat,Surat,Bardoli,Valod,14.2,PMGSY-I
